logGe logAs logRb logSr logMo logCs
1S1Zn1 -0.562118918 19.57273908 3.335769576 1.2865880186 0.797669494 0.1646518735
1S2Zn1 -0.733969175 4.51075619 3.33220451 1.2859438956 0.6804882765 0.09531018
1S3Zn1 -0.597837001 17.76645831 3.206803244 1.2630716004 0.6320633635 0.11950845
1S1Zn2 -0.597837001 6.41853886 3.356897123 1.28755033 0.7986826655 0.127321109
1S2Zn2 -0.733969175 -5.10825624 3.353406718 1.2817057582 0.6956409515 0.069880971
1S3Zn2 -0.916290732 -12.37874356 3.238678452 1.2619836556 0.5442809765 -0.0101013535
3S1Zn2 0.2390169 6.2700405 2.312535424 0.1567803088 1.5720761395 -0.585591491
3S2Zn2 0.357674444 35.23415014 2.162172939 0.2411941614 1.266848407 -0.673536824
3S1Zn3 0.264126727 38.28641396 1.994700313 0.1595014392 1.1030370965 -0.618937178
3S1Zn3D 1.313723668 8.81563798 2.008214032 0.1612951732 1.118222645 -0.618937178
3S2Zn3 0.850572028 35.94568775 2.0255132 0.2954097448 1.170902903 -0.673536824
3S2Zn3D 1.25846099 3.9785848 1.993338843 0.3593494022 1.141701137 -0.5394048305
9S1Zn1 -1.078809661 4.0854497 2.173614712 0.899516995 1.3405107645 -0.137218423
9S1Zn1D -1.386294361 22.60720889 2.549445171 0.9454775638 1.156267712 0.1155558605
9S2Zn1 -0.820980552 21.34166441 2.610069793 1.0086850234 0.8933734635 0.11950845
9S3Zn1 -1.108662625 20.47692843 2.778819272 0.9704060528 0.9877344755 0.033829324
9S1Zn2 -0.314710745 2.54444718 2.406945108 1.017519267 0.795636971 0.2287124235
9S2Zn2 -0.223143551 24.15913778 2.370243741 1.0187500402 0.81462027 0.146334807
9S3Zn2 -0.105360516 25.8021683 2.406945108 0.9953467484 0.822402528 0.15374235
9S1Zn3 -0.15082289 22.55493485 2.442347035 0.9911654116 0.861383299 0.253408801
9S2Zn3 -0.430782916 20.5796251 2.406945108 0.9967213244 0.8185265395 0.146334807
9S3Zn3 -0.562118918 18.5629799 2.302585093 0.97956796 0.831963049 -0.0204109975
9S1Zn4 -0.905360516 4.93205453 2.509599262 1.0099712014 0.7832652055 0.2350018145
9S1Zn4D -0.105360516 25.17696473 2.517696473 1.0137808404 0.785348542 0.2593968965
9S2Zn4 -0.162518929 23.97895273 2.415913778 1.015034763 0.7759044 0.19938806
9S3Zn4 -0.72570693 4.59588842 2.424802726 1.017519267 0.786386964 0.2126338675
